,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
1,0.5,0.598,0.5,0.5910780669144982,1.0,0.636,0.6666666666666666,0.6127167630057804
2,0.6681561189130039,0.594,0.6462718138551031,0.5903846153846154,0.7429630980606724,0.614,0.6912525806725304,0.6019607843137255
3,0.677366405252599,0.605,0.652040231382563,0.6007677543186181,0.7606541431090036,0.626,0.702171839048207,0.6131243878550441
4,0.6451456015563256,0.629,0.602156518762569,0.7142857142857143,0.8555535290899143,0.43,0.706830738322451,0.5368289637952559
5,0.7212292540579974,0.617,0.7495542449595392,0.7510729613733905,0.6644780837740896,0.35,0.7044568334890916,0.47748976807639837
6,0.7438142136300079,0.668,0.7399629031293006,0.828125,0.7518390175694571,0.424,0.7458536879560943,0.5608465608465608
7,0.7528117210772691,0.647,0.7434006438396255,0.8154506437768241,0.7721442032950331,0.38,0.7574998508975964,0.5184174624829468
8,0.7579792084625205,0.66,0.7425272903926388,0.803030303030303,0.7898352483433644,0.424,0.7654510104283273,0.5549738219895288
9,0.7486169371998298,0.679,0.7326620014792058,0.7624633431085044,0.7829047358502037,0.52,0.7569505672133074,0.6183115338882283
10,0.7632378868016293,0.68,0.7578608861362554,0.8284671532846716,0.7736640525259895,0.454,0.7656809361932553,0.58656330749354
11,0.7625691531400085,0.672,0.7536410617805966,0.7945205479452054,0.7801690072344823,0.464,0.766675628043134,0.5858585858585859
12,0.755456258739133,0.665,0.7170454545454545,0.7323943661971831,0.8439418809654082,0.52,0.7753358094333827,0.6081871345029239
13,0.7655176606480637,0.68,0.7420069817698233,0.802013422818792,0.8140920420694268,0.478,0.7763798701298701,0.5989974937343359
14,0.7721442032950331,0.681,0.7642405997284694,0.8290909090909091,0.787099519727643,0.456,0.7755016471997604,0.5883870967741935
15,0.7729345248951304,0.679,0.7658553917214426,0.8185053380782918,0.7862484041583075,0.46,0.7759179265658748,0.58898847631242
16,0.7608669220013374,0.681,0.7266532854426369,0.7439353099730458,0.8363426348106268,0.552,0.7776490206608067,0.6337543053960965
17,0.7633898717247249,0.676,0.7217133207103014,0.7291666666666666,0.8573773481670618,0.56,0.7837176993609336,0.6334841628959276
18,0.7717794394796036,0.686,0.7325357607282185,0.7657142857142857,0.8561614687822968,0.536,0.7895385995402814,0.6305882352941177
