,training_accuracy,training_accuracy_druggable,training_accuracy_non_druggable,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
1,0.5427777777777778,0.09444444444444444,0.9911111111111112,0.9538761514153163,0.11538461538461539,0.990595831286406
2,0.6661111111111111,0.6881481481481482,0.644074074074074,0.6074093995831372,0.6522435897435898,0.6054459962102604
3,0.7314814814814815,0.7192592592592593,0.7437037037037038,0.6653667720029584,0.6314102564102564,0.6668538143027581
4,0.7677777777777778,0.7585185185185185,0.7770370370370371,0.6790156659718953,0.6490384615384616,0.6803284441013404
5,0.8607407407407407,0.8455555555555555,0.8759259259259259,0.6900423586364554,0.6794871794871795,0.6905045968138115
6,0.8609259259259259,0.8451851851851852,0.8766666666666667,0.6914543131849661,0.6858974358974359,0.6916976629938943
7,0.8724074074074074,0.8418518518518519,0.902962962962963,0.7034223088818665,0.6875,0.7041195873394624
8,0.8725925925925926,0.8533333333333334,0.8918518518518519,0.702346533987763,0.6842948717948718,0.7031370622499824
9,0.8725925925925926,0.8533333333333334,0.8918518518518519,0.702346533987763,0.6842948717948718,0.7031370622499824
10,0.8792592592592593,0.8585185185185186,0.9,0.7024137699186446,0.6826923076923077,0.703277422977051
11,0.877962962962963,0.8566666666666667,0.8992592592592593,0.7027499495730518,0.6891025641025641,0.7033476033405853
12,0.8759259259259259,0.8537037037037037,0.8981481481481481,0.7037584885362738,0.6826923076923077,0.7046810302477367
13,0.8711111111111111,0.8466666666666667,0.8955555555555555,0.7069185772877026,0.6714743589743589,0.7084707698785879
14,0.8805555555555555,0.8629629629629629,0.8981481481481481,0.7001949841995563,0.6955128205128205,0.7004000280721454
15,0.8785185185185185,0.8581481481481481,0.8988888888888888,0.7029516573656962,0.7003205128205128,0.7030668818864482
16,0.8740740740740741,0.8562962962962963,0.8918518518518519,0.7108854972097088,0.6778846153846154,0.7123306898729735
17,0.8648148148148148,0.84,0.8896296296296297,0.7150541249243596,0.6875,0.7162607902308934
18,0.8781481481481481,0.8614814814814815,0.8948148148148148,0.7193572245007732,0.6939102564102564,0.7204716120429504
19,0.8753703703703704,0.8544444444444445,0.8962962962962963,0.7174746184360923,0.6923076923076923,0.7185767422275248
20,0.8757407407407407,0.86,0.8914814814814814,0.719895111947825,0.7003205128205128,0.7207523334970876
21,0.8959259259259259,0.8774074074074074,0.9144444444444444,0.7122302158273381,0.6907051282051282,0.7131728542353849
22,0.9174074074074074,0.9077777777777778,0.927037037037037,0.7108182612788274,0.6891025641025641,0.7117692469646992
23,0.9472222222222222,0.9403703703703704,0.9540740740740741,0.7106837894170644,0.7275641025641025,0.7099445575128079
24,0.9568518518518518,0.9511111111111111,0.9625925925925926,0.7135749344449674,0.7099358974358975,0.7137342971436592
25,0.955925925925926,0.9481481481481482,0.9637037037037037,0.7180125058831439,0.7275641025641025,0.7175942171380447
26,0.9662962962962963,0.9611111111111111,0.9714814814814815,0.7172056747125664,0.7355769230769231,0.716401150957962
27,0.9722222222222222,0.9655555555555555,0.9788888888888889,0.724130975593357,0.7371794871794872,0.7235595480384588
28,0.9764814814814815,0.9681481481481482,0.9848148148148148,0.7299805015800443,0.7307692307692307,0.7299459611200786
29,0.9764814814814815,0.9681481481481482,0.9848148148148148,0.7299805015800443,0.7307692307692307,0.7299459611200786
30,0.970925925925926,0.9648148148148148,0.977037037037037,0.7256774020036307,0.7307692307692307,0.7254544178538845
31,0.9768518518518519,0.9718518518518519,0.9818518518518519,0.7317958717138439,0.7339743589743589,0.7317004702084356
32,0.9848148148148148,0.9825925925925926,0.987037037037037,0.7389228803872789,0.7355769230769231,0.7390694083795354
33,0.9848148148148148,0.9825925925925926,0.987037037037037,0.7389228803872789,0.7355769230769231,0.7390694083795354
34,0.9851851851851852,0.9829629629629629,0.9874074074074074,0.7353593760505615,0.7387820512820513,0.7352094883851499
35,0.9868518518518519,0.9844444444444445,0.9892592592592593,0.7348214886035097,0.7548076923076923,0.7339462418415328
36,0.9918518518518519,0.9914814814814815,0.9922222222222222,0.7396624756269751,0.7596153846153846,0.7387886869253982
