,training_accuracy,training_accuracy_druggable,training_accuracy_non_druggable,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
1,0.5427777777777778,0.09444444444444444,0.9911111111111112,0.9538761514153163,0.11538461538461539,0.990595831286406
2,0.6072222222222222,0.6407407407407407,0.5737037037037037,0.5845491830834398,0.6794871794871795,0.5803916064285213
3,0.7314814814814815,0.7192592592592593,0.7437037037037038,0.6653667720029584,0.6314102564102564,0.6668538143027581
4,0.7677777777777778,0.7585185185185185,0.7770370370370371,0.6790156659718953,0.6490384615384616,0.6803284441013404
5,0.8607407407407407,0.8455555555555555,0.8759259259259259,0.6900423586364554,0.6794871794871795,0.6905045968138115
6,0.8609259259259259,0.8388888888888889,0.882962962962963,0.6882942244335373,0.6746794871794872,0.688890448452523
7,0.8594444444444445,0.8396296296296296,0.8792592592592593,0.6946816378672763,0.6730769230769231,0.6956277633518142
8,0.8748148148148148,0.8503703703703703,0.8992592592592593,0.7003966919922007,0.6762820512820513,0.7014527335251597
9,0.8842592592592593,0.8618518518518519,0.9066666666666666,0.705977274255362,0.6794871794871795,0.7071373429714366
10,0.8920370370370371,0.8711111111111111,0.912962962962963,0.7073892288038728,0.6746794871794872,0.7088216716962594
11,0.8920370370370371,0.8711111111111111,0.912962962962963,0.7073892288038728,0.6746794871794872,0.7088216716962594
12,0.8811111111111111,0.8655555555555555,0.8966666666666666,0.7011362872318967,0.6746794871794872,0.702294897887571
13,0.887962962962963,0.8733333333333333,0.9025925925925926,0.7168694950581591,0.6923076923076923,0.7179451189557162
14,0.8962962962962963,0.8818518518518519,0.9107407407407407,0.7171384387816849,0.6987179487179487,0.7179451189557162
15,0.8881481481481481,0.8725925925925926,0.9037037037037037,0.7156592483022928,0.6923076923076923,0.7166818724120991
16,0.8966666666666666,0.8803703703703704,0.912962962962963,0.714247293753782,0.6875,0.715418625868482
17,0.8911111111111111,0.8774074074074074,0.9048148148148148,0.7155247764405298,0.6923076923076923,0.7165415116850306
18,0.8961111111111111,0.8837037037037037,0.9085185185185185,0.7127681032743899,0.6939102564102564,0.7135939364165906
19,0.8872222222222222,0.8740740740740741,0.9003703703703704,0.7156592483022928,0.7035256410256411,0.7161906098673592
20,0.9074074074074074,0.894074074074074,0.9207407407407407,0.711625092449405,0.7227564102564102,0.7111376236928907
21,0.9344444444444444,0.9285185185185185,0.9403703703703704,0.7135076985140859,0.7227564102564102,0.7131026738718507
22,0.9451851851851852,0.9418518518518518,0.9485185185185185,0.7236603240771868,0.7227564102564102,0.7236999087655274
23,0.9581481481481482,0.9518518518518518,0.9644444444444444,0.719895111947825,0.7307692307692307,0.7194189065899361
24,0.9729629629629629,0.9696296296296296,0.9762962962962963,0.7265514691050897,0.7227564102564102,0.7267176643975016
25,0.9637037037037037,0.9633333333333334,0.9640740740740741,0.7257446379345122,0.717948717948718,0.7260860411256931
26,0.9640740740740741,0.9611111111111111,0.967037037037037,0.7297115578565185,0.7211538461538461,0.7300863218471472
27,0.9640740740740741,0.9611111111111111,0.967037037037037,0.7297115578565185,0.7211538461538461,0.7300863218471472
28,0.9690740740740741,0.965925925925926,0.9722222222222222,0.7307873327506219,0.7227564102564102,0.7311390273001614
29,0.9672222222222222,0.9622222222222222,0.9722222222222222,0.7341491292946951,0.7115384615384616,0.7351393080216155
30,0.9814814814814815,0.9792592592592593,0.9837037037037037,0.7320648154373697,0.7211538461538461,0.7325426345708471
31,0.9805555555555555,0.9733333333333334,0.9877777777777778,0.7237275600080683,0.7275641025641025,0.7235595480384588
32,0.9844444444444445,0.9807407407407407,0.9881481481481481,0.7282323673771264,0.7387820512820513,0.7277703698505158
33,0.9862962962962963,0.9818518518518519,0.9907407407407407,0.7303839171653331,0.717948717948718,0.7309284862095585
34,0.9848148148148148,0.9837037037037037,0.9859259259259259,0.734283601156458,0.7435897435897436,0.7338760614779984
35,0.9881481481481481,0.9862962962962963,0.99,0.7350904323270355,0.7307692307692307,0.7352796687486841
36,0.9890740740740741,0.9855555555555555,0.9925925925925926,0.732400995091777,0.7275641025641025,0.7326128149343814
37,0.9909259259259259,0.9903703703703703,0.9914814814814815,0.7295770859947556,0.7291666666666666,0.7295950593024072
38,0.9953703703703703,0.9933333333333333,0.9974074074074074,0.7407382505210784,0.7275641025641025,0.7413151800126324
39,0.9951851851851852,0.9933333333333333,0.997037037037037,0.7392590600416863,0.75,0.7387886869253982
40,0.9974074074074074,0.9962962962962963,0.9985185185185185,0.7381832851475829,0.7467948717948718,0.7378061618359183
41,0.9974074074074074,0.9962962962962963,0.9985185185185185,0.7335440059167619,0.7564102564102564,0.7325426345708471
42,0.9929629629629629,0.9922222222222222,0.9937037037037038,0.7360989712902575,0.7403846153846154,0.7359112920204927
43,0.9964814814814815,0.9962962962962963,0.9966666666666667,0.7377798695622941,0.7532051282051282,0.7371043582005755
