,training_accuracy,training_accuracy_druggable,training_accuracy_non_druggable,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
1,0.6033333333333334,0.632962962962963,0.5737037037037037,0.5856249579775432,0.6634615384615384,0.5822162958804127
2,0.9996296296296296,0.9992592592592593,1.0,0.5643111678881194,0.5897435897435898,0.563197417362622
3,0.9998148148148148,0.9996296296296296,1.0,0.6466751832179116,0.6121794871794872,0.6481858376026388
4,0.9998148148148148,0.9996296296296296,1.0,0.6542056074766355,0.6618589743589743,0.6538704470489157
5,0.9998148148148148,0.9996296296296296,1.0,0.6569622806427755,0.6586538461538461,0.6568882026808899
6,0.9998148148148148,0.9996296296296296,1.0,0.6700060512337793,0.6650641025641025,0.6702224717524037
7,0.9998148148148148,0.9996296296296296,1.0,0.673300611846971,0.6618589743589743,0.6738016702926521
8,0.9998148148148148,0.9996296296296296,1.0,0.6782088348013178,0.6842948717948718,0.6779423117411748
9,0.9998148148148148,0.9996296296296296,1.0,0.693336919249647,0.7083333333333334,0.6926801880833743
10,0.9998148148148148,0.9996296296296296,1.0,0.7015397028171855,0.7051282051282052,0.7013825531616253
11,0.9998148148148148,0.9996296296296296,1.0,0.7040946681906811,0.7211538461538461,0.7033476033405853
12,0.9998148148148148,0.9996296296296296,1.0,0.7040946681906811,0.7147435897435898,0.7036283247947225
13,0.9998148148148148,0.9996296296296296,1.0,0.7096080145229611,0.7211538461538461,0.7091023931503965
14,0.9998148148148148,0.9996296296296296,1.0,0.7104148456935386,0.7227564102564102,0.7098743771492736
15,0.9998148148148148,0.9996296296296296,1.0,0.710616553486183,0.7083333333333334,0.7107165415116851
16,0.9998148148148148,0.9996296296296296,1.0,0.7065823976332952,0.7307692307692307,0.7055231946101481
17,0.9998148148148148,0.9996296296296296,1.0,0.7113561487258792,0.7339743589743589,0.7103656396940136
18,0.9998148148148148,0.9996296296296296,1.0,0.7155247764405298,0.719551282051282,0.7153484455049477
19,0.9998148148148148,0.9996296296296296,1.0,0.7182142136757883,0.7115384615384616,0.7185065618639904
20,0.9998148148148148,0.9996296296296296,1.0,0.7219794258051503,0.7339743589743589,0.7214541371324303
21,0.9998148148148148,0.9996296296296296,1.0,0.7257446379345122,0.7147435897435898,0.7262264018527615
22,0.9998148148148148,0.9996296296296296,1.0,0.72426544745512,0.7227564102564102,0.7243315320373359
23,0.9998148148148148,0.9996296296296296,1.0,0.72702212062126,0.717948717948718,0.7274194680328444
24,0.9998148148148148,0.9996296296296296,1.0,0.7254756942109863,0.7259615384615384,0.7254544178538845
25,0.9998148148148148,0.9996296296296296,1.0,0.7289719626168224,0.7259615384615384,0.7291037967576672
26,0.9998148148148148,0.9996296296296296,1.0,0.7280978955153634,0.7291666666666666,0.728051091304653
